waktu_kejadian,crime_total
18:00-21:59,8457
15:00-17:59,8030
12:00-14:59,7674
08:00-11:59,7138
00:00-04:59,4870
22:00-23:59,3026
05:00-07:59,2358
Korban Tidak Tahu,2
