jenis_kejahatan,crime_total
"Kejahatan Pengusutan, Penuntutan Dan Peradilan Tindak Pidana Ekonomi",0
Kejahatan Penyiaran,0
Kejahatan Peradilan Anak,0
Kejahatan Perairan Indonesia,0
Kejahatan Perdagangan,0
Kejahatan Perdagangan Berjangka,0
Kejahatan Perdagangan Manusia,0
Kejahatan Perindustrian,0
Kejahatan Perkebunan,0
Kejahatan Perlindungan Anak,0
Kejahatan Perlindungan Konsumen,0
Kejahatan Perlindungan Saksi Dan Korban,0
Kejahatan Pers,0
Kejahatan Pertambangan Mineral Dan Batubara (Illegal Mining),0
Kejahatan Perumahan Dan Kawasan Pemukiman,0
Kejahatan Peternakan Dan Kesehatan Hewan,0
Kejahatan Pornografi,0
Kejahatan Praktek Kedokteran,0
Kejahatan psikotropika,0
Kejahatan Rahasia Dagang,0
Kejahatan Serikat Pekerja,0
Kejahatan Sistem Keolahragaan Nasional,0
Kejahatan Sistem Pendidikan Nasional,0
Kejahatan Tenaga Kerja,0
Kejahatan Tenaga Kesehatan,0
Kejahatan Tentang Benda Cagar Budaya,0
Kejahatan Tentang Ekstradisi,0
Kejahatan Tentang Keimigrasian,0
Kejahatan Tentang Pariwisata,0
Kejahatan Tentang Pencegahan Dan Pemberantasan Perusakan Hutan,0
Kejahatan Tentang Penempatan Dan Perlindungan Tki Di Luar Negeri,0
Kejahatan Tentang Penerbangan,0
"Kejahatan Tentang Pengusutan, Penuntutan Dan Peradilan Tindak Pidana Ekonomi",0
Kejahatan Tentang Peradilan Anak,0
Kejahatan Tentang Perdagangan Berjangka,0
Kejahatan Tentang Perkebunan,0
Kejahatan Tentang Perkeretaapian,0
Kejahatan Tentang Pertambangan Mineral Dan Batubara (illegal Mining),0
Kejahatan Tentang Praktek Monopoli Dan Persaingan Usaha Tidak Sehat,0
Kejahatan Tentang Tenaga Nuklir,0
Kejahatan Terhadap Keamanan Negara,0
Kejahatan Terhadap Perkawinan,0
Kejahatan Terhadap Pertanian,0
Kejahatan terhadap ras,0
kejahatan terhadap sumber daya air,0
Kejahatan Terkait Kearsipan,0
Kejahatan Terkait Ketenaga Listrikan,0
Kejahatan Terkait Keuangan Negara,0
Kejahatan terkait Pemilihan Umum,0
Kejahatan Terkait Pengelolaan Sampah,0
Kejahatan Terkait Penyelenggaraan Haji dan Umrah,0
Kejahatan Terkait Penyiaran,0
Kejahatan Terkait Perairan Indonesia,0
Kejahatan Terkait Perlindungan Varietas Tanaman,0
Kejahatan Terkait Perumahan Dan Kawasan Pemukiman,0
Kejahatan Terkait Praktek Kedokteran,0
Kejahatan Terkait Senjata Tajam ( Sajam ),0
Kejahatan Terkait Sistem Pendidikan Nasional,0
Kekerasan Fisik,0
Kekerasan Fisik Suami/Istri (Ringan),0
Kekerasan Seksual,0
Kekerasan terhadap Anak,0
Kekerasan terhadap Anak (Luka Berat),0
Kelalaian mengakibatkan orang luka,0
Kelalaian Mengakibatkan orang mati,0
Kenakalan terhadap orang atau barang,0
Kepailitan,0
Kepemilikan Bukan Tanaman,0
Kepemilikan Senjata Tajam Ilegal,0
Kerugian Negara (Melawan Hukum),0
Kerugian Negara (Penyalahgunaan Wewenang),0
Konten Asusila,0
Korupsi,0
Korupsi (Memperkaya Diri/Kerugian Negara),0
Korupsi (Penyalahgunaan Wewenang),0
Larangan Perolehan/Pengumpulan Data Pribadi Bukan Miliknya,0
Mabuk di Tempat Umum,0
Masuk rumah orang tanpa izin (Trespassing),0
Masuk Rumah Tanpa Izin (Trespassing),0
Melarikan Perempuan (Tipu/Paksa),0
Melawan Kekuasaan Umum,0
Memakai Suatu Hak Yang Telah Diketahui Bahwa Haknya Telah Dicabut Oleh Hakim,0
Memasukan/Mengeluarkan Ikan Berpenyakit,0
Membantu Tahanan Kabur / Melarikan Diri,0
Membawa Senjata Tajam,0
Membuat dan atau menjual barang berbahaya,0
Membuat dan atau menjual minuman keras (Miras) oplosan,0
Membuat gaduh pertemuan Agama,0
Mempekerjakan Anak Dibawah Umur,0
Mencabut Barang Milik Sendiri,0
Mengedarkan pangan tercemar,0
Mengganggu ketentraman dengan memberikan teriakan isyarat palsu,0
Menghalangi Pemberian ASI Eksklusif,0
Menghalangi Pengawas,0
