waktu_kejadian,crime_total
18:00-21:59,4976
15:00-17:59,4745
12:00-14:59,4368
08:00-11:59,3982
00:00-04:59,2631
22:00-23:59,1726
05:00-07:59,1270
Korban Tidak Tahu,2
